Western Digital WD 1TB BLUE WD10EZEX (SATA3/7200/64M),1000,46800,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:25.4mm/소음(유휴/탐색): 29/30dB /2년
Western Digital WD 4TB BLUE WD40EZRZ (SATA3/5400/64M),4000,116300,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 25/28dB /2년
Western Digital WD 2TB BLUE WD20EZRZ (SATA3/5400/16M),2000,62300,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/5,400RPM/메모리 16MB/두께:26.1mm/소음(유휴/탐색): 23/27dB /2년
Western Digital WD 3TB BLUE WD30EZRZ (SATA3/5400/64M),3000,90600,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 23/27dB /2년
Western Digital WD 4TB BLACK WD4005FZBX (SATA3/7200/256M),4000,245000,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26.1mm/소음(유휴/탐색): 29/36dB /5년/백업, 마이그레이션 프로그램 제공/720g
Western Digital WD 6TB BLUE WD60EZRZ (SATA3/5400/64M),6000,215600,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 25/28dB /2년
Western Digital WD 4TB BLACK WD4003FZEX (SATA3/7200/64M),4000,289000,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/780g/5년 보증
Western Digital WD 500GB WD5000AZLX (SATA3/7200/32M),500,48900,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm/소음(유휴/탐색): 29/30dB /2년
Western Digital WD 4TB WD4004FZWX (SATA3/7200/128M),4000,268000,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/5년
Western Digital WD 2TB BLACK WD2003FZEX (SATA3/7200/64M),2000,153200,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 29/30dB /5년/600g
Western Digital WD 1TB BLACK WD1003FZEX (SATA3/7200/64M),1000,83000,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 29/30dB /5년/450g
Western Digital WD 500GB BLUE WD5000AAKX (SATA3/7200/16M),500,44630,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/두께:25.4mm/소음(유휴/탐색): 29/30dB
Western Digital WD 2TB GREEN WD20EARX (SATA3/5400/64M),2000,102000,HDD (PC용)/8.9cm (3.5형)/2TB 이상/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께:26.1mm/저전력
Western Digital WD 3TB GREEN WD30EZRX (SATA3/5400/64M),3000,146190,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께: 26.1mm/저전력/HBA카드 미포함
Western Digital WD 3TB BLACK WD3003FZEX (SATA3/7200/64M),3000,366160,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/780g/5년 보증
Western Digital WD 1TB BLACK WD1002FAEX (SATA3/7200/64M),1000,145000,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:25.4mm
Western Digital WD 1TB GREEN WD10EZRX (SATA3/5400/64M),1000,96000,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/두께:26.1mm/저전력/3년/450g
Western Digital WD 320GB BLUE WD3200AAKX (SATA3/7200/16M),320,55000,HDD (PC용)/8.9cm (3.5형)/320GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/두께:25.4mm
Western Digital WD 250GB BLUE WD2500AAKX (SATA3/7200/16M),250,67000,HDD (PC용)/8.9cm (3.5형)/250GB/SATA3(6Gb/s)/7,200RPM/메모리 16MB/두께:25.4mm
Western Digital WD 2TB BLACK WD2002FAEX (SATA3/7200/64M),2000,185184,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:25.4mm
Western Digital WD 6TB BLACK WD6003FZBX (SATA3/7200/256M),6000,355000,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/5년
Western Digital WD 6TB BLACK WD6002FZWX (SATA3/7200/128M),6000,365520,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm
Seagate 2TB BarraCuda ST2000DM006 (SATA3/7200/64M),2000,64300,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/소음(유휴/탐색): 24/26dB /2년/무게: 최대 626g
Seagate 1TB BarraCuda ST1000DM010 (SATA3/7200/64M),1000,48600,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3 (6Gb/s)/7,200RPM/메모리 64MB/두께:20.2mm/소음(유휴/탐색): 22/23dB /2년/무게: 최대 400g
Seagate 4TB BarraCuda ST4000DM004 (SATA3/5400/256M),4000,117300,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/5,400RPM/메모리 256MB/두께:20.2mm/소음(유휴/탐색): 22/24dB /2년/다층 캐싱 기술(MTC Technology)/무게: 최대 490g
Seagate 2TB BarraCuda ST2000DM008 (SATA3/7200/256M),2000,71400,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:20.2mm/2년/무게 : 최대 490g
Seagate 3TB BarraCuda ST3000DM007 (SATA3/5400/256M),3000,93300,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/두께:20.2mm/소음(유휴/탐색): 22/24dB /2년/다층캐싱(MTC)/무게: 490g
Seagate 8TB BarraCuda ST8000DM004 (SATA3/5400/256M),8000,275000,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/두께:26.11mm/소음(유휴/탐색): 23/25dB /2년/다층캐싱(MTC)/무게: 630g
