MSI 지포스 GTX1060 아머 VR OC D5 6GB,9010,120,PCle3.0x16,243300,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/252mm"
이엠텍 지포스 RTX 2080 BLACK EDITION OC D6 8GB,15447,250,PCle3.0x16,1033000,"지포스 RTX 2080/12nm/1515 MHz,부스트 1815MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 250W/정격파워 650W/전원부: 8+2페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
이엠텍 XENON 지포스 GTX1060 STORM X Dual D5 6GB,9010,120,PCle3.0x16,328500,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/250mm"
MSI 지포스 GTX1060 아머 VR OC D5 6GB",9010,120,PCle3.0x16,328200,"지포스 GTX1060/16nm/1544 MHz,부스트 1759MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/275mm"
이엠텍 지포스 RTX 2080 Ti BLACK EDITION OC D6 11GB,17450,300,PCle3.0x16,1588000,"지포스 RTX 2080 Ti/12nm/1350MHz,부스트 1650MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 300W/정격파워 700W/전원부: 13+3페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
리드텍 WinFast 지포스 GTX1060 HURRICANE OC D5 3GB,8931,120,PCle3.0x16,250000,"지포스 GTX1060/16nm/1531 MHz,부스트 1746MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/233mm/백플레이트/LED 라이트"
PALIT 지포스 RTX 2070 Dual D6 8GB,13756,175,PCle3.0x16,686900,"지포스 RTX 2070/12nm/1410 MHz,부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/DVI/HDMI/DP/USB Type-C/최대 모니터 4개/최대 175W/정격파워 550W/2개 팬/292mm/백플레이트/LED 라이트/2018년 10월 30일 제품 디자인 및 LED(RGB→단색) 변경"
MSI 지포스 RTX 2070 아머 D6 8GB",13756,175,PCle3.0x16,709800,"지포스 RTX 2070/12nm/1410MHz,부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 175W/정격파워 550W 이상/2개 팬/309mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1060 아머 VR OC D5 3GB,8931,120,PCle3.0x16,239200,"지포스 GTX1060/16nm/1544 MHz,부스트 1759MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/275mm"
이엠텍 지포스 RTX 2070 BLACK EDITION OC D6 8GB,13756,185,PCle3.0x16,722900,"지포스 RTX 2070/12nm/1410MHz,부스트 1725MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 185W/정격파워 500W 이상/전원부: 8+2페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
MSI 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6",12158,180,PCle3.0x16,610500,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 10페이즈/2개 팬/279mm/백플레이트/LED 라이트/MYSTIC LIGHT"
