삼성전자 DDR4 8G PC4-21300 (정품),8,73200,DDR4/PC용/1ea/미포함/Dimm/8GB/2,666MHz
삼성전자 DDR4 8G PC4-19200 (정품),8,68900,DDR4/PC용/1ea/미포함/Dimm/8GB/2,400MHz
삼성전자 DDR4 4G PC4-19200 (정품),4,37000,DDR4/PC용/1ea/미포함/Dimm/4GB/2,400MHz
삼성전자 DDR4 16G PC4-21300 (정품),16,149000,DDR4/PC용/1ea/미포함/Dimm/16GB/2,666MHz
삼성전자 DDR4 16G PC4-19200 (정품),16,144000,DDR4/PC용/1ea/미포함/Dimm/16GB/2,400MHz
삼성전자 DDR4 4G PC4-21300 (정품),4,40100,DDR4/PC용/1ea/미포함/Dimm/4GB/2,666MHz
삼성전자 DDR4 8G PC4-17000 (정품),8,91000,DDR4/PC용/1ea/미포함/Dimm/8GB/2,133MHz
삼성전자 DDR4 4G PC4-17000 (정품),4,46700,DDR4/PC용/1ea/미포함/Dimm/4GB/2,133MHz
삼성전자 DDR4 16G PC4-17000 (정품),16,196200,DDR4/PC용/1ea/미포함/Dimm/16GB/2,133MHz
GeIL DDR4 8G PC4-21300 CL19 PRISTINE,8,62900,DDR4/PC용/1ea/미포함/Dimm/8GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-4
GeIL DDR4 8G PC4-19200 CL17 PRISTINE,8,61070,DDR4/PC용/1ea/미포함/Dimm/8GB/2,400MHz/1.20V/메모리 타이밍 : 17-17-17-39
GeIL DDR4 8G PC4-24000 CL16 EVO SPEAR,8,77500,DDR4/PC용/1ea/포함/Dimm/8GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-36
GeIL DDR4 8G PC4-21300 CL19 SUPER LUCE RGB Sync 블랙,8,90900,DDR4/PC용/1ea/포함/Dimm/8GB/2,666MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/RGB LED/메모리 타이밍 : 19-19-19-43
